Season,Team,Matches,Points,Wins,Draws,Losses,Goals_For,Goals_Against,Shots_For,Shots_Against,Shots_Target_For,Shots_Target_Against,Corners_For,Corners_Against,Fouls,Yellow_Cards,Red_Cards,Clean_Sheets,Goals_For_Per_Match,Goals_Against_Per_Match,Shots_For_Per_Match,Shots_Against_Per_Match,Shots_Target_For_Per_Match,Shots_Target_Against_Per_Match,Corners_For_Per_Match,Corners_Against_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Clean_Sheets_Per_Match,Goal_Difference,Goal_Difference_Per_Match,Shot_Conversion_Rate,Points_Per_Match,League_Rank,Goals_For_Per_Match_Norm,Shots_For_Per_Match_Norm,Shots_Target_For_Per_Match_Norm,Corners_For_Per_Match_Norm,Shot_Conversion_Rate_Norm,Clean_Sheets_Per_Match_Norm,Goals_Against_Per_Match_Norm,Shots_Against_Per_Match_Norm,Shots_Target_Against_Per_Match_Norm,Fouls_Per_Match_Norm,Yellow_Cards_Per_Match_Norm,Red_Cards_Per_Match_Norm,Attack_Index,Defence_Index,Discipline_Index,Composite_Index,Composite_Rank,Cluster
2023_24,Sheffield United,38,16,3,7,28,35,104,368,678,129,269,142,272,423,93,5,1,0.9210526315789472,2.736842105263158,9.68421052631579,17.842105263157894,3.3947368421052637,7.078947368421052,3.736842105263158,7.157894736842105,11.13157894736842,2.4473684210526314,0.131578947368421,0.0263157894736842,-69,-1.8157894736842104,0.0951086956521739,0.4210526315789473,20,0.0,0.0,0.0,0.0,0.2151165942201068,0.0,0.0,0.0,0.0,0.3789954337899542,0.2075471698113209,0.2857142857142857,0.0430233188440213,0.0,0.2907522964385203,0.0753597868253126,20,0
2024_25,Southampton,38,12,2,6,30,26,86,343,682,111,256,152,246,459,89,3,3,0.6842105263157895,2.263157894736842,9.026315789473683,17.94736842105263,2.921052631578948,6.7368421052631575,4.0,6.473684210526316,12.078947368421051,2.3421052631578947,0.0789473684210526,0.0789473684210526,-60,-1.5789473684210529,0.075801749271137,0.3157894736842105,20,0.0,0.0255591054313099,0.0,0.0982142857142856,0.0,0.0833333333333333,0.0,0.0,0.0,0.2422907488986784,0.2195121951219513,0.5,0.0247546782291191,0.0208333333333333,0.3206009813402099,0.0823554008930229,20,0
2020_21,Sheffield United,38,23,7,2,29,20,63,325,542,99,212,171,243,459,73,3,5,0.5263157894736842,1.6578947368421053,8.552631578947368,14.263157894736842,2.6052631578947367,5.578947368421052,4.5,6.394736842105263,12.078947368421051,1.9210526315789476,0.0789473684210526,0.131578947368421,-43,-1.131578947368421,0.0615384615384615,0.6052631578947368,20,0.0,0.0,0.0,0.2260869565217391,0.0049147664379013,0.0,0.2954545454545454,0.1815286624203821,0.2328767123287672,0.1798561151079134,0.0,0.5,0.046200344591928,0.1774649800509237,0.2266187050359711,0.1347898708643349,20,0
2021_22,Leeds,38,38,9,11,18,42,79,485,582,154,231,171,182,469,100,3,5,1.105263157894737,2.0789473684210527,12.763157894736842,15.31578947368421,4.052631578947368,6.078947368421052,4.5,4.789473684210527,12.342105263157896,2.631578947368421,0.0789473684210526,0.131578947368421,-37,-0.9736842105263158,0.0865979381443299,1.0,17,0.25,0.3117977528089888,0.3061224489795918,0.0759493670886076,0.3097639806342281,0.0588235294117647,0.0862068965517242,0.1243654822335025,0.0,0.0,0.0,0.6,0.2507267099022833,0.0673489770492478,0.1999999999999999,0.1672302747806124,20,0
2021_22,Norwich,38,22,5,7,26,23,84,374,631,109,230,165,253,356,55,2,6,0.6052631578947368,2.210526315789474,9.842105263157896,16.605263157894736,2.8684210526315788,6.052631578947368,4.342105263157895,6.657894736842105,9.36842105263158,1.4473684210526316,0.0526315789473684,0.1578947368421052,-61,-1.605263157894737,0.0614973262032085,0.5789473684210527,20,0.0,0.0,0.0,0.0379746835443038,0.0,0.1176470588235294,0.0,0.0,0.0069930069930069,0.7583892617449665,0.7758620689655173,0.8,0.0075949367088607,0.031160016454134,0.7780837769034946,0.1711187366458968,19,0
2024_25,Ipswich,38,22,4,10,24,36,82,376,607,127,216,145,252,430,84,5,2,0.9473684210526316,2.1578947368421053,9.894736842105264,15.973684210526317,3.3421052631578947,5.684210526315789,3.8157894736842106,6.631578947368421,11.31578947368421,2.210526315789474,0.131578947368421,0.0526315789473684,-46,-1.2105263157894737,0.0957446808510638,0.5789473684210527,19,0.1666666666666666,0.1309904153354633,0.1333333333333333,0.0357142857142856,0.2700167973124299,0.0,0.0769230769230768,0.2293577981651375,0.2941176470588235,0.3700440528634362,0.3414634146341462,0.1666666666666666,0.1473442996724357,0.1500996305367594,0.292724711388083,0.1775225143612947,19,0
2020_21,West Brom,38,26,5,11,22,35,76,340,599,112,246,145,267,404,51,4,6,0.9210526315789472,2.0,8.947368421052632,15.763157894736842,2.9473684210526314,6.473684210526316,3.8157894736842106,7.026315789473684,10.63157894736842,1.3421052631578947,0.1052631578947368,0.1578947368421052,-41,-1.0789473684210529,0.1029411764705882,0.6842105263157895,19,0.238095238095238,0.0530035335689046,0.1083333333333333,0.0,0.4546158955058668,0.0714285714285714,0.0,0.0,0.0,0.5755395683453237,0.6666666666666667,0.3333333333333333,0.1708096001006685,0.0178571428571428,0.5251798561151079,0.1805026684061461,19,0
2022_23,Wolves,38,41,11,8,19,31,58,413,555,125,182,186,204,463,83,5,11,0.8157894736842105,1.5263157894736843,10.86842105263158,14.605263157894736,3.289473684210526,4.789473684210527,4.894736842105263,5.368421052631579,12.18421052631579,2.1842105263157894,0.131578947368421,0.2894736842105263,-27,-0.7105263157894737,0.0750605326876513,1.0789473684210529,13,0.0,0.2256809338521399,0.0619469026548672,0.408450704225352,0.0,0.5384615384615385,0.4444444444444444,0.2132132132132133,0.2181818181818182,0.0,0.0243902439024392,0.0,0.1392157081464718,0.3535752535752536,0.008130081300813,0.1987424009488528,20,0
2023_24,Burnley,38,24,5,9,24,41,78,433,614,142,246,181,233,427,71,7,2,1.0789473684210529,2.0526315789473686,11.394736842105264,16.157894736842106,3.736842105263158,6.473684210526316,4.7631578947368425,6.131578947368421,11.236842105263158,1.868421052631579,0.1842105263157894,0.0526315789473684,-37,-0.9736842105263158,0.0946882217090069,0.631578947368421,19,0.0983606557377049,0.1540284360189573,0.0872483221476509,0.2689655172413794,0.2095377607201637,0.0588235294117647,0.3466666666666665,0.1666666666666665,0.1263736263736262,0.3607305936073059,0.6226415094339622,0.0,0.1636281383731713,0.174632622279681,0.327790701013756,0.2008624444638921,19,0
2022_23,Nott'm Forest,38,38,9,11,18,38,68,368,561,118,190,128,239,445,84,0,8,1.0,1.7894736842105263,9.68421052631579,14.763157894736842,3.1052631578947367,5.0,3.3684210526315788,6.289473684210527,11.710526315789474,2.210526315789474,0.0,0.2105263157894736,-30,-0.7894736842105263,0.1032608695652173,1.0,16,0.1111111111111111,0.0505836575875485,0.0,0.0,0.348898787602572,0.3076923076923076,0.2222222222222223,0.1951951951951951,0.1454545454545456,0.1551724137931032,0.0,1.0,0.1021187112602463,0.2176410676410676,0.3850574712643677,0.2049154058133991,19,0
